timestamp,latitude,longitude,altitude,status_status,status_service
1573567236.7223299,42.35833687833333,-71.094571995,-21.056,2,1
1573567236.9141772,42.35833673333333,-71.09457227833333,-21.023,2,1
1573567237.116586,42.35833657166667,-71.09457249333333,-20.998,2,1
1573567237.3189332,42.35833649666667,-71.094572775,-20.986,2,1
1573567237.531777,42.35833637166667,-71.09457302666667,-20.953,2,1
1573567237.7138007,42.35833634666667,-71.09457354,-20.91,2,1
1573567237.9173357,42.35833645,-71.09457401833333,-20.861,2,1
1573567238.1294725,42.358336775,-71.09457451333333,-20.854,2,1
1573567238.3111432,42.35833712666667,-71.09457513333334,-20.847,2,1
1573567238.5232859,42.35833725,-71.09457581666666,-20.864,2,1
1573567238.7249532,42.358336918333336,-71.09457667666666,-20.886,2,1
1573567238.9170287,42.358336015,-71.094577765,-20.861,2,1
1573567239.119084,42.358334748333334,-71.09457870833333,-20.858,2,1
1573567239.3211715,42.358333648333335,-71.09457952,-20.91,2,1
1573567239.5333178,42.358332186666665,-71.09458001166666,-20.918,2,1
1573567239.7260535,42.358330863333336,-71.09458012333333,-20.974,2,1
1573567239.9180882,42.358329551666664,-71.09458030166667,-20.989,2,1
1573567240.1201642,42.35832845666667,-71.09458009333333,-20.975,2,1
1573567240.3225167,42.35832776833333,-71.09457921,-20.968,2,1
1573567240.5245955,42.35832755166667,-71.09457824666667,-20.990000000000002,2,1
1573567240.7165785,42.358327695,-71.09457702666667,-20.972,2,1
1573567240.918681,42.35832776,-71.09457575,-20.98,2,1
1573567241.11101,42.35832813,-71.09457442,-21.043,2,1
1573567241.3173676,42.35832827,-71.09457308666667,-21.026,2,1
1573567241.510904,42.35832834666667,-71.09457164833333,-21.051000000000002,2,1
1573567241.7127001,42.35832836,-71.09456998666667,-21.076,2,1
1573567241.924578,42.358328603333334,-71.09456836833333,-21.089,2,1
1573567242.1167243,42.35832924,-71.094566755,-21.114,2,1
1573567242.3187597,42.35833014333333,-71.09456514333333,-21.137999999999998,2,1
1573567242.5107937,42.35833137666667,-71.09456350333333,-21.172,2,1
1573567242.7230244,42.358332528333335,-71.09456183666667,-21.192,2,1
1573567242.9251723,42.35833388,-71.09456,-21.201999999999998,2,1
1573567243.1171377,42.358335445,-71.09455784166667,-21.261,2,1
1573567243.3190336,42.358336746666666,-71.09455617666667,-21.273,2,1
1573567243.5212572,42.35833834,-71.09455479166667,-21.291,2,1
1573567243.7233176,42.358340245,-71.09455342166666,-21.332,2,1
1573567243.925499,42.358341875,-71.09455214333333,-21.35,2,1
1573567244.1175244,42.35834351333333,-71.09455075,-21.416,2,1
1573567244.3196425,42.35834530666666,-71.09454890833334,-21.469,2,1
1573567244.5217435,42.35834717833333,-71.09454694666667,-21.499000000000002,2,1
1573567244.7137802,42.3583489,-71.09454521666666,-21.53,2,1
1573567244.9260342,42.358350683333335,-71.09454358,-21.556,2,1
1573567245.1281047,42.35835229333333,-71.09454180166667,-21.575,2,1
1573567245.3202827,42.358353815,-71.09453987666667,-21.62,2,1
1573567245.5224135,42.358355333333336,-71.09453775666667,-21.614,2,1
1573567245.7245557,42.35835684166667,-71.094535385,-21.634999999999998,2,1
1573567245.9165087,42.358358546666665,-71.094533505,-21.652,2,1
1573567246.118637,42.358360265,-71.09453153666666,-21.695,2,1
1573567246.310615,42.35836192666667,-71.094529975,-21.655,2,1
1573567246.5329459,42.35836361166667,-71.09452869166667,-21.63,0,1
1573567246.7350233,42.358365335,-71.09452762166667,-21.595,0,1
1573567246.9371092,42.3583671,-71.09452679333333,-21.55,0,1
1573567247.1190372,42.35836956333333,-71.09452302833333,-21.7,2,1
1573567247.3212137,42.35837152333333,-71.09452178833334,-21.685000000000002,2,1
1573567247.5230553,42.35837347333333,-71.09452023666667,-21.726,2,1
1573567247.7149534,42.35837545166667,-71.09451876333334,-21.765,2,1
1573567247.9170253,42.35837785166667,-71.09451715333333,-21.793,2,1
1573567248.129332,42.35838013666667,-71.09451589833333,-21.810000000000002,2,1
1573567248.3113399,42.35838239833333,-71.09451504666667,-21.829,2,1
1573567248.523491,42.35838461833333,-71.09451429,-21.871000000000002,2,1
